Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.13636363636363,0.0,19.181818181818183,0.0,0.0,11.636363636363637,23.636363636363637
2,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,0.0,0.6111111111111112,0.0,0.0,5.388888888888889,12.61111111111111
3,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2352941176470589,0.0,1.5,0.0,0.0,10.323529411764707,19.91176470588235
4,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,9.36,0.88,0.0,14.08,26.56
5,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9473684210526316,0.0,2.9210526315789473,0.0,0.0,7.184210526315789,13.947368421052632
6,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.0,0.46153846153846156,0.0,0.0,7.596153846153846,15.51923076923077
7,1.3157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789473684212,0.0,0.8421052631578947,0.0,0.0,4.315789473684211,8.473684210526315
8,2.175,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,57.525,0.0,0.0,0.0,0.0,8.375,0.0,0.0,25.075,0.0,13.125,25.9
9,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,3.125,3.5,0.0,3.0,2.625
10,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1774193548387095,0.0,1.3387096774193548,0.0,0.0,13.5,23.403225806451612
11,0.2765957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.340425531914892,0.0,1.6595744680851063,0.0,0.0,7.148936170212766,12.702127659574469
