Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7222222222222223,0.0,2.111111111111111,0.0,0.0,12.555555555555555,19.833333333333332
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09375,0.0,3.09375,0.0,0.0,16.3125,28.5
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9375,0.0,0.7916666666666666,0.0,0.0,20.395833333333332,34.354166666666664
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.826086956521738,19.391304347826086
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428571428571429,18.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28125,0.0,0.15625,0.0,0.0,15.546875,24.4375
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3181818181818181,0.0,6.681818181818182,0.7272727272727273,0.0,10.772727272727273,16.818181818181817
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3055555555555556,0.0,0.0,0.3194444444444444,0.0,33.125,54.34722222222222
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2246376811594204,0.0,1.391304347826087,0.4492753623188406,0.0,15.971014492753623,27.181159420289855
10,0.0,0.0,0.0,3.2096774193548385,0.0,0.0,0.0,0.0,0.0,0.0,37.41935483870968,0.0,0.0,0.0,0.0,0.5,0.0,2.2096774193548385,4.209677419354839,0.0,11.806451612903226,22.693548387096776
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0476190476190474,0.0,11.857142857142858,0.0,0.0,5.9523809523809526,10.476190476190476
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641509433962265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5660377358490567,0.018867924528301886,2.8679245283018866,0.0,0.0,13.81132075471698,25.50943396226415
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4148936170212765,0.0,0.8936170212765957,0.6382978723404256,0.0,26.425531914893618,45.87234042553192
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,1.1683168316831682,0.0,0.0,20.18811881188119,35.722772277227726
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07228915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421686746987952,0.0,8.144578313253012,0.0,0.0,26.44578313253012,46.27710843373494
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595744680851063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0638297872340425,0.0,0.0,0.0,0.0,10.595744680851064,18.27659574468085
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31313131313131315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7373737373737375,0.0,4.545454545454546,0.0,0.0,11.777777777777779,22.07070707070707
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5308641975308641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296296296296297,0.0,7.012345679012346,0.0,0.0,13.382716049382717,24.098765432098766
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701754385964912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289473684210526,0.0,0.5789473684210527,0.0,0.0,27.350877192982455,47.89473684210526
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,4.333333333333333,3.1666666666666665,0.0,6.666666666666667,15.666666666666666
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611111111111111,10.38888888888889
22,0.15079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.28835978835978837,0.0,0.0,2.8465608465608465,0.0,0.0,0.0,0.0,1.619047619047619,0.0,2.17989417989418,0.0,0.0,10.494708994708995,18.497354497354497
23,0.0,0.0,0.0,0.2796610169491525,0.0,0.0,0.0,0.9915254237288136,0.0,0.0,2.635593220338983,0.0,0.0,0.0,0.0,2.169491525423729,0.0,3.8389830508474576,0.5169491525423728,0.0,5.576271186440678,11.94915254237288
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.0,1.8928571428571428,0.0,0.0,9.607142857142858,18.357142857142858
25,0.0,0.0,0.0,2.6779661016949152,0.0,0.0,0.0,1.2033898305084745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.067796610169491,0.0,4.711864406779661,0.0,0.0,12.779661016949152,22.372881355932204
26,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.163636363636364,0.0,9.118181818181819,1.0363636363636364,0.0,26.009090909090908,44.38181818181818
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0344827586206895,0.0,0.27586206896551724,0.0,0.0,9.689655172413794,17.862068965517242
