Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,0.0,2.7333333333333334,0.0,4.166666666666667,0.0,2.8333333333333335,0.0,0.0,0.0,9.233333333333333,46.86666666666667,0.0,0.4,13.1,0.0,23.966666666666665,42.86666666666667
2,0.36,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,11.56,40.88,0.0,17.68,33.6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.37037037037037,0.0,3.1481481481481484,3.962962962962963,0.0,61.666666666666664,106.62962962962963
4,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54,0.0,10.62,1.72,0.0,14.72,24.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.40909090909091,0.0,11.681818181818182,3.5,0.0,26.681818181818183,46.68181818181818
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,12.75,1.15,0.0,14.5,28.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.375,0.0,5.3125,0.3125,0.0,15.4375,28.09375
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,2.2222222222222223,0.0,0.0,9.555555555555555,21.88888888888889
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.318181818181818,0.0,2.3181818181818183,0.0,0.0,12.227272727272727,20.727272727272727
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.578125,0.0,8.46875,0.0,0.0,27.4375,47.46875
11,0.0,0.0,0.0,2.596774193548387,3.725806451612903,0.0,0.0,0.24193548387096775,0.0,0.0,29.774193548387096,0.0,0.0,0.0,0.0,13.209677419354838,0.0,1.6290322580645162,13.919354838709678,0.0,48.693548387096776,84.41935483870968
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.535714285714286,0.0,1.8571428571428572,0.0,0.0,24.714285714285715,45.607142857142854
13,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30769230769231,0.0,7.346153846153846,8.596153846153847,0.0,14.98076923076923,22.96153846153846
