Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,7.095238095238095,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238095238095237,0.0,5.714285714285714,0.0,0.0,17.333333333333332,28.571428571428573
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.24,0.0,5.56,0.0,0.0,18.04,29.32
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.818181818181818,0.0,0.0,0.0,0.0,15.909090909090908,28.681818181818183
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68421052631579,0.0,0.5263157894736842,11.894736842105264,0.0,29.105263157894736,44.10526315789474
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.125,0.0,4.875,0.0,7.125,14.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.578947368421052,0.0,7.2631578947368425,0.0,0.0,8.105263157894736,12.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,1.3333333333333333,0.0,0.0,7.125,9.291666666666666
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,2.142857142857143,0.0,0.0,7.714285714285714,12.714285714285714
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.235294117647059,0.0,4.088235294117647,0.0,0.0,6.529411764705882,11.735294117647058
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.670886075949365,34.11392405063291
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7285714285714286,0.0,0.5571428571428572,0.0,0.0,8.614285714285714,13.5
12,0.0,0.0,0.0,0.42424242424242425,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.454545454545455,0.0,2.787878787878788,0.0,0.0,5.878787878787879,10.181818181818182
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1625,0.0,1.9375,0.0,0.0,7.85,13.5
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48936170212766,0.0,7.446808510638298,0.0,0.0,25.851063829787233,44.02127659574468
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.152173913043478,0.0,8.478260869565217,0.0,0.0,28.282608695652176,46.06521739130435
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527950310559006,0.0,0.5341614906832298,0.20496894409937888,0.0,7.385093167701863,12.850931677018634
17,0.0,0.0,0.0,0.24347826086956523,0.0,0.0,0.0,0.4,0.0,0.0,0.2782608695652174,0.0,0.0,0.0,0.0,13.052173913043479,0.0,2.243478260869565,0.11304347826086956,0.0,9.11304347826087,15.608695652173912
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.768421052631579,0.0,1.7263157894736842,0.0,0.0,12.494736842105263,21.694736842105264
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.644736842105264,0.0,2.776315789473684,0.0,0.0,6.7894736842105265,11.447368421052632
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,15.366666666666667,0.0,0.0,7.966666666666667,12.7
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.392638036809816,0.0,2.214723926380368,0.0,0.0,12.024539877300613,21.312883435582823
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.172413793103448,0.0,4.327586206896552,0.0,0.0,6.5344827586206895,12.344827586206897
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4727272727272727,0.0,0.0,0.0,0.0,0.0,0.38181818181818183,3.1818181818181817,0.05454545454545454,0.0,2.7636363636363637,0.0,16.527272727272727,26.490909090909092
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8706896551724137,0.0,11.181034482758621,0.0,1.146551724137931,0.0,0.0,34.41379310344828,61.025862068965516
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0588235294117645,0.0,4.5,0.0,0.0,7.926470588235294,13.191176470588236
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,31.56140350877193,0.0,0.6491228070175439,1.4035087719298245,0.0,7.964912280701754,13.894736842105264
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.547169811320753,0.0,8.90566037735849,0.0,0.0,5.377358490566038,10.641509433962264
28,0.0,0.0,0.0,0.0,1.7469879518072289,0.0,0.0,0.0,0.0,0.0,2.144578313253012,0.0,0.0,0.0,0.0,7.698795180722891,0.0,1.963855421686747,0.0,0.0,5.481927710843373,11.795180722891565
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,5.03921568627451,0.0,0.0,37.6078431372549,64.15686274509804
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.525,0.0,1.5625,0.2625,0.0,12.525,22.15
