Object,CD66b,CD20,CD28,CD16,CD163,CD11b,CD45,CD4,CD31,CD279,CD68,Foxp3,CK7,Ki67,CD8,Collagen,CD3,CD138,HLADR,GranzymeB,Ir191,Ir193
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.77777777777778,0.0,0.0,0.0,0.0,8.11111111111111,14.333333333333334
2,1.2580645161290323,0.0,0.0,2.6129032258064515,7.32258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290322580645161,0.0,2.935483870967742,0.0,0.0,17.870967741935484,29.580645161290324
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7209302325581395,0.0,4.465116279069767,0.0,0.0,12.813953488372093,20.790697674418606
4,0.0,0.0,0.0,1.2777777777777777,9.13888888888889,0.0,0.0,0.0,0.0,0.0,20.805555555555557,0.0,0.0,0.0,0.0,2.0277777777777777,0.0,2.611111111111111,2.9722222222222223,0.0,10.666666666666666,20.77777777777778
5,0.0,0.0,0.0,1.9761904761904763,6.261904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.904761904761905,0.0,0.0,6.523809523809524,10.095238095238095
6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,0.0,6.166666666666667,0.0,0.0,5.0,8.416666666666666
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5625,0.0,7.3125,0.0,0.0,6.1875,11.75
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,42.05263157894737,0.0,0.3157894736842105,0.0,0.0,7.315789473684211,12.263157894736842
9,0.8421052631578947,0.0,0.0,8.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7368421052631575,0.0,7.0,0.0,0.0,6.2105263157894735,10.894736842105264
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,0.0,4.17948717948718,0.0,0.0,7.948717948717949,12.974358974358974
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,7.52,0.0,0.0,4.72,8.62
