Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,26,1.3846153846153846,401.0,7.605665904189708,4.307692307692308,0.8241446490869536
2,19,1.263157894736842,148.8421052631579,5.894503054821655,4.200314913318668,0.7015891558358428
3,34,1.6764705882352942,569.7352941176471,9.389273643485211,4.689015799448445,0.8663707669543494
4,44,2.2045454545454546,3.772727272727273,9.509119989271406,5.915222748987129,0.7829712827067906
5,32,1.875,490.28125,7.825594202867821,5.171503685780525,0.750522534190036
6,73,2.3972602739726026,216.91780821917808,14.574556479581627,6.651077749551454,0.8898011007150678
7,59,2.389830508474576,273.79661016949154,11.75452379727415,6.3799614433287894,0.839883654997544
8,22,1.7727272727272727,338.54545454545456,6.300326140757955,4.571753694414872,0.6880770581091714
9,51,2.411764705882353,416.2549019607843,10.538796062750809,6.435578353453711,0.791896034975824
10,86,3.5930232558139537,238.86046511627907,13.588368718721389,8.611740623080012,0.7735311856355032
11,99,3.414141414141414,289.2323232323232,14.851202855484424,8.518289226692023,0.8191525526726574
12,81,4.419753086419753,129.1358024691358,13.602759808936264,8.692207421430723,0.7692040530229771
13,135,4.17037037037037,441.0814814814815,16.161386061140963,10.9700801987802,0.7343385648648939
14,77,3.7662337662337664,499.15584415584414,10.761529295332396,9.123498818437502,0.5303347699062911
15,168,5.654761904761905,350.1666666666667,18.248828745366065,11.826532490019801,0.761580118923483
16,69,3.753623188405797,64.30434782608695,14.007178738259093,6.625436009168051,0.8810608759044484
17,40,4.45,205.325,8.255098283811252,6.141933923823709,0.668160624455324
18,125,4.768,480.672,17.09561611368435,9.656779053780618,0.8251807752544629
19,77,4.311688311688312,526.5454545454545,14.608662552650957,7.796905457003566,0.8456625496397389
20,49,4.877551020408164,538.8571428571429,9.52882031197843,6.693162041535788,0.7117701504344948
21,61,5.016393442622951,557.0491803278688,11.705558494011585,6.627254914886338,0.8242932608748472
22,95,5.157894736842105,185.2736842105263,11.973741683619265,10.270066924655108,0.5141241857976753
23,78,5.628205128205129,380.2564102564103,10.50624327015798,9.510929192789673,0.42484839919747297
24,156,6.076923076923077,427.7564102564103,15.277699836193737,13.06430414818348,0.518426071597384
25,204,7.142156862745098,365.70588235294116,19.099357852857196,13.87398650505231,0.6872603880155826
26,33,6.575757575757576,571.060606060606,7.222769176061988,5.756349017042372,0.604015479648369
27,28,8.285714285714286,1.6785714285714286,7.6625770413416205,4.725011048879664,0.7872494026722839
28,27,7.62962962962963,272.85185185185185,7.120032409637137,4.8781371610467925,0.7284222206285939
29,168,8.660714285714286,408.1011904761905,16.906200971748248,12.783301412652117,0.6544203704415131
30,52,8.75,177.51923076923077,9.032989617553316,7.474002934903703,0.5615955647756864
31,165,8.236363636363636,456.2909090909091,16.513145255844805,12.853542485265583,0.6277903784599076
32,49,8.89795918367347,418.0816326530612,8.405475717331427,7.533141964760017,0.4436131047694108
33,91,10.571428571428571,313.9120879120879,11.429107719363158,10.242386013970519,0.4437174824452616
34,53,10.415094339622641,542.9811320754717,8.520713126874966,7.987785060982246,0.34810650226552464
35,27,12.0,57.0,7.014174666289113,4.806001461410962,0.7283698582158596
36,35,11.285714285714286,579.0857142857143,11.529586449042752,4.438705408315005,0.9229232795453527
37,44,12.590909090909092,171.1590909090909,8.971249333225167,6.184838121664113,0.7243746255298888
38,49,12.571428571428571,329.9591836734694,8.456264694341895,7.382800836103746,0.487618217662358
39,83,13.674698795180722,550.5783132530121,13.175301295292686,8.095420742468797,0.7889642250023137
40,219,12.881278538812785,475.5296803652968,22.7330350096976,12.666123918215305,0.8303996691768064
41,82,13.975609756097562,15.134146341463415,12.814156801097182,8.168197822849699,0.7705037608566745
