Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,5,0.4,120.8,3.098386676965933,1.7888543819998317,0.816496580927726
2,17,1.0,198.1764705882353,6.579952032307076,3.4256930862308863,0.8537849434258319
3,23,0.6521739130434783,211.56521739130434,11.743463835781732,2.718754171571442,0.9728320203198437
4,29,1.1724137931034482,285.6551724137931,9.852167519422842,3.842339188146747,0.9208151206710385
5,22,0.36363636363636365,322.59090909090907,15.16139250938999,1.7767865838762928,0.9931093335615718
6,15,0.6666666666666666,362.8666666666667,7.135719233726117,2.796299124773482,0.9200191172326543
7,21,0.9047619047619048,389.6666666666667,8.219287465165491,3.2435183166805728,0.9188432062836829
8,25,1.72,435.24,7.546087664485033,5.223079643266685,0.7217466839221084
9,7,1.2857142857142858,481.57142857142856,5.672452304781605,1.5606183863895253,0.9614092233077123
10,15,0.8666666666666667,539.6666666666666,5.963268946242257,3.2213663642250534,0.8415357530872689
11,13,0.5384615384615384,708.2307692307693,7.554371880072024,1.9753176197160076,0.9652088777670543
12,20,1.25,714.85,6.6559430149377405,3.8908125863245457,0.8113489094546613
13,21,0.7142857142857143,787.1428571428571,9.518914753121289,3.0151189354515924,0.9485089660350301
14,10,0.6,812.4,5.552868442405136,2.37605809300639,0.9038273042838144
15,11,0.7272727272727273,992.2727272727273,4.899296620841422,2.9199003820073255,0.8029966139691335
16,18,0.8888888888888888,190.16666666666666,7.08691967776906,3.2352631277132655,0.8897173091782848
17,19,1.368421052631579,238.3684210526316,5.739747602691579,4.27676916855565,0.6669365644452532
18,11,0.9090909090909091,310.3636363636364,4.346129984141888,3.067356324605906,0.7084437526351622
19,46,1.6304347826086956,455.2391304347826,12.195692864408649,4.915779340155046,0.9151669330606157
20,36,1.2222222222222223,638.4722222222222,11.760972931963167,3.9985194346080544,0.940431932833648
21,16,1.3125,681.25,4.811595968284149,4.391587894827078,0.40860974147611084
22,30,1.3333333333333333,700.0333333333333,8.983437327420212,4.401018620208769,0.8717765920079641
23,61,1.4262295081967213,730.360655737705,17.786177558884493,4.432559974152315,0.9684485054708305
24,41,1.6585365853658536,819.0,10.680416786454966,5.0330342472508605,0.8820052921130791
25,202,2.9603960396039604,920.2574257425742,34.78331605868559,8.69083365855269,0.9682829060553726
26,40,1.475,962.475,11.662402869143188,4.378168488968957,0.9268593443958825
27,35,1.3142857142857143,46.02857142857143,11.80674665758695,4.144718633059766,0.9363579780782169
28,25,1.68,114.56,6.240788931570107,5.230349272428377,0.545530395430319
29,27,1.9259259259259258,383.4074074074074,6.421500681256118,5.2654105708259085,0.5724125976557588
30,40,2.225,441.15,8.983274761619382,5.738534181936378,0.769371147406816
31,12,1.4166666666666667,512.75,4.418071998329191,3.371873174730685,0.6461621652955031
32,39,1.7179487179487178,587.8461538461538,9.706473577665035,5.17682260818321,0.8459027854804232
33,10,0.8,658.5,4.09878030638384,2.9933259094191533,0.6831300510639732
34,55,1.7636363636363637,690.6727272727272,14.70302326355333,4.911475798038242,0.942557021303557
35,20,1.5,768.55,5.629086351207842,5.086588920941576,0.4283223177703061
36,57,1.719298245614035,801.5263157894736,14.052160561708709,5.712567607436632,0.9136392450915066
37,42,1.9523809523809523,64.85714285714286,9.417810526805056,5.927268281450809,0.7771074313729346
38,50,1.86,106.64,12.063690049158907,5.388894357641864,0.8946819829090041
39,29,2.0344827586206895,136.6551724137931,6.565996096881469,5.819168753546622,0.4631912862556844
40,53,2.6226415094339623,163.45283018867926,10.649443408967054,6.405472762903864,0.7988846382574459
41,36,1.6944444444444444,179.41666666666666,9.151215073482042,5.162395219979785,0.8256919365937515
42,34,1.8823529411764706,245.64705882352942,9.531023091631225,4.863224065140454,0.8600249101677983
43,54,2.3703703703703702,531.9444444444445,10.40085434071412,7.104009274776828,0.730398075879039
44,56,1.9642857142857142,563.5,12.351980754981307,6.092819460610321,0.8698781917520528
45,42,1.5476190476190477,649.5238095238095,11.443528225755253,4.980947106920909,0.9003032360816038
46,71,2.2816901408450705,899.3943661971831,14.857722492285667,6.9401840143743385,0.8841994524046618
47,72,2.236111111111111,973.9583333333334,14.714678136002599,6.385978115343775,0.9009191624148408
48,36,2.2222222222222223,172.11111111111111,7.6553606631780395,6.0338875358825375,0.6154305068603928
49,35,2.5428571428571427,232.77142857142857,7.352068622445421,6.070684427627008,0.5640932845457952
50,251,3.6095617529880477,616.5059760956175,34.33662031917245,9.981211866576205,0.9568181760643891
51,47,2.404255319148936,842.9787234042553,9.027689202813884,6.925599839363326,0.6414666837808999
52,43,2.3255813953488373,862.7674418604652,8.458219000200376,6.760998469223452,0.6008780976678693
53,58,2.8448275862068964,940.7413793103449,10.588146911723413,7.246012715078673,0.7291523977521865
54,135,3.2444444444444445,272.47407407407405,20.09032308033178,9.596540843892232,0.8785394418791473
55,88,2.340909090909091,336.5681818181818,17.078059014354917,6.8388341380915465,0.9163205201690767
56,68,2.161764705882353,576.1911764705883,14.28059913410388,6.380288942277493,0.8946437573546687
57,79,4.1265822784810124,675.0253164556962,11.490333135558936,9.49133116748372,0.5636298140838537
58,136,3.5294117647058822,33.330882352941174,18.680470281358073,9.820943423178706,0.8506495178131357
59,81,3.617283950617284,401.0246913580247,11.639746580862305,9.22904899816103,0.6093636355499333
60,218,6.08256880733945,502.0550458715596,18.748490267900987,15.502791689875812,0.5623752592785359
61,69,3.927536231884058,57.028985507246375,9.53806738102001,9.2658161189335,0.23721838267881434
62,54,3.814814814814815,524.2222222222222,8.905302879013385,7.7331238691551505,0.49591175717993924
63,94,4.095744680851064,666.1063829787234,13.536063239240647,9.044829683181666,0.7439795550195716
64,163,5.024539877300613,746.4969325153374,18.56293100006831,11.648079047481106,0.7786235147144026
65,143,4.741258741258742,760.2027972027972,15.685323642402661,11.937636976714462,0.6486691812402845
66,133,4.090225563909774,832.203007518797,16.79035606663307,10.353213835164818,0.7872635223917208
67,75,4.293333333333333,144.01333333333332,11.003937524878154,8.919667598049243,0.585615857192174
68,56,3.0357142857142856,373.80357142857144,15.034182425450345,5.896115257083314,0.9198882253248017
69,202,5.405940594059406,413.73762376237624,19.799643559177365,13.673650693990052,0.7232361055850987
70,108,3.75,473.50925925925924,16.87616848361426,9.016910595190756,0.8452959071262703
71,66,3.5,489.1818181818182,9.993008846229687,8.533637547462494,0.520337390676309
72,51,5.0,201.76470588235293,9.325091104440377,6.950807542307302,0.6666312950435265
73,200,4.875,296.31,22.613307190611714,11.83430343970563,0.8521278918383824
74,130,4.507692307692308,353.96153846153845,18.461455236916766,9.309014311858984,0.8635632399584281
75,123,5.300813008130081,428.4634146341463,13.646092637547294,11.780766917533255,0.5046791770214376
76,78,4.5,545.5897435897435,11.290474008128218,9.068764410190283,0.5956789240489972
77,45,4.866666666666666,996.1555555555556,8.232015777966915,6.967071771613233,0.5326454419550206
78,128,5.6953125,321.359375,15.719524886146463,10.687365416290492,0.7333248681566027
79,34,5.9411764705882355,376.38235294117646,7.494852390473508,5.761721084844913,0.6395408520661459
80,34,5.117647058823529,481.5882352941176,8.133907399534987,5.276975538224038,0.7609907943295815
81,46,5.282608695652174,643.1521739130435,9.055460513556273,6.501021855906734,0.6961340844035753
82,169,5.431952662721893,777.0887573964498,17.0385968783692,12.785704871000975,0.6609878733523481
83,92,5.086956521739131,598.3586956521739,14.319372061852746,8.860876371332049,0.7855458804110219
84,162,5.722222222222222,853.2654320987655,15.662666031385012,13.393311244731265,0.5184456738048524
85,7,6.0,16.285714285714285,3.0237157840738176,2.799416848895061,0.377964473009227
86,91,4.824175824175824,155.58241758241758,15.402415271902182,8.470225061659164,0.8352118248440702
87,31,6.838709677419355,395.19354838709677,6.703206663435567,5.9231469465896485,0.4681880130539743
88,109,6.935779816513762,654.8532110091743,13.260660272961934,11.444365735441183,0.5051503371490835
89,109,6.110091743119266,791.6330275229358,12.503290064784718,11.22896949432492,0.43982973326587516
90,24,6.041666666666667,820.6666666666666,5.964572350907737,5.0942766364386545,0.5201266126331177
91,74,6.364864864864865,946.2702702702703,12.049811820696899,8.75124893653456,0.6874242690527392
92,53,6.339622641509434,980.3584905660377,10.785688885098606,6.377525480795544,0.80645523785944
93,34,6.970588235294118,281.11764705882354,8.506075224917375,5.167737202824714,0.7942930167574132
94,50,7.1,592.14,8.868222726133252,7.172239934615525,0.5881425146232895
95,166,7.698795180722891,91.39759036144578,16.968656814028513,12.707534665325296,0.6627024984505779
96,59,7.203389830508475,246.0677966101695,9.675127368368054,7.899509621593232,0.5773793259209908
97,51,8.549019607843137,386.6078431372549,9.816447113477277,7.2084573002029755,0.6787986272103425
98,60,8.35,122.93333333333334,10.05610235069087,7.731560498027022,0.6394380044146404
99,16,8.0,222.125,5.491121612710071,3.6874901266889313,0.740971222810684
100,27,8.185185185185185,561.1111111111111,6.539632239143379,5.253388770943665,0.5955535272408444
101,170,9.611764705882353,628.4470588235295,24.786530626496027,9.972651696249883,0.9154896282617707
102,24,8.0,799.1666666666666,6.131385644672007,5.095259132945605,0.5562534929151786
103,30,8.1,164.26666666666668,6.818832317945695,5.721807526935427,0.543948843770492
