Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,18,1.0555555555555556,536.6666666666666,6.418982417165278,3.601319790617859,0.8277872247188428
2,12,0.9166666666666666,669.1666666666666,4.894994431930091,2.9693109114997,0.7950060587397373
3,19,1.1578947368421053,691.2631578947369,6.409971260585167,3.829947927250813,0.801870061677453
4,25,1.32,815.92,7.590326539571496,4.176858032382307,0.8349755780293057
5,14,1.3571428571428572,388.2857142857143,4.74024689744533,3.7660484032669737,0.6072856123196265
6,20,1.35,399.75,5.9180572695723335,4.429062897957317,0.6632497744049433
7,22,1.4090909090909092,491.27272727272725,6.458493108741291,4.375770891691275,0.7355025475769105
8,9,1.2222222222222223,562.5555555555555,3.7712361663282534,3.2049344670791013,0.5270462766947299
9,39,2.871794871794872,647.7692307692307,7.698024034317668,6.558199864855926,0.5236509815624436
10,16,1.0625,662.8125,6.222716025422782,3.2638635490697965,0.8514055971008102
11,20,1.25,735.55,6.259115876723552,4.169348683157498,0.7458408162122024
12,28,1.7857142857142858,775.4642857142857,7.282319843707168,5.063722650551066,0.7186763672010815
13,71,1.5070422535211268,843.0422535211268,20.167618836650576,4.596206604268635,0.9736844705872024
14,40,2.225,473.675,8.128374269050877,6.342675440398289,0.6253892793979205
15,31,1.8709677419354838,480.83870967741933,7.473897088270878,5.252358737132325,0.7114266316320902
16,31,1.935483870967742,523.5483870967741,8.093623978348335,4.799411830088638,0.8052122122682891
17,83,2.4096385542168677,765.6144578313254,16.67742385012495,6.555079273299619,0.9195166431980843
18,18,2.111111111111111,372.8888888888889,5.929628472945037,3.7712361663282534,0.7716901048850685
19,20,2.0,434.5,5.551273532399293,4.6025386656152145,0.5591062754659805
20,41,2.4390243902439024,458.1219512195122,8.22301052899513,6.3466351551388644,0.6358482950229195
21,33,3.303030303030303,467.8787878787879,8.907445984807227,4.7655708891153115,0.8448458525624356
22,13,2.1538461538461537,486.38461538461536,4.738956625909506,3.5986906120722595,0.6506420303241719
23,43,2.2790697674418605,498.04651162790697,8.839006850246983,6.238336880174551,0.7084375442405154
24,29,2.2413793103448274,656.0,7.338527078929634,5.021334162193927,0.7292542899410867
25,9,2.2222222222222223,780.8888888888889,4.312594463574638,2.6609286609047587,0.7869526281849774
26,97,2.9381443298969074,790.6185567010309,16.620357230261778,7.76811404881497,0.8840536127383445
27,77,3.272727272727273,615.8441558441558,12.134094773756374,8.088190724510886,0.7454448617484588
28,46,3.217391304347826,625.5217391304348,8.377887145874519,6.966029194353551,0.5555576179138833
29,95,3.6,750.9052631578948,13.094003089830087,9.366868143493434,0.6987606153674663
30,14,3.2142857142857144,805.0714285714286,4.949700438498619,3.6798480805132705,0.6687930272830729
31,65,3.8461538461538463,392.83076923076925,10.716525291168448,7.798170958573016,0.6859197578417406
32,67,3.1492537313432836,893.1194029850747,10.905321932443652,8.344084247018271,0.6438654467790682
33,28,4.392857142857143,503.57142857142856,6.870425005125041,5.287771322123814,0.6384750326179705
34,72,4.180555555555555,543.0694444444445,12.082927498958266,8.00442154621344,0.7490998217057404
35,10,3.8,609.0,5.438198096416778,2.2329356157598745,0.9118146230702718
36,98,4.530612244897959,512.0612244897959,12.587067100371241,9.960173631118197,0.6114252698266129
37,63,3.2063492063492065,639.952380952381,11.063976622925479,7.460865297168675,0.7384223723216988
38,37,4.621621621621622,673.7837837837837,7.398257146215827,6.5231435008533305,0.47178515529110926
39,25,5.12,430.24,5.896179918424344,5.477505122733296,0.37009931396298
40,73,4.5479452054794525,444.7260273972603,12.997800328565587,7.249769442516804,0.8299962640487931
41,16,6.625,366.0,5.0942109424386555,3.9747974632600163,0.6254581326049351
42,72,4.916666666666667,424.75,11.96758095104096,7.951191773861701,0.747382300015091
43,13,5.615384615384615,563.3846153846154,4.318667337728677,3.6794648440311994,0.523556754446835
44,81,4.222222222222222,715.2469135802469,14.287281764997983,7.971204050733643,0.8298926750755131
45,30,6.466666666666667,398.6666666666667,6.946411620976066,5.4484074159103075,0.6203204474368359
46,55,6.545454545454546,809.3636363636364,9.264628550056154,7.576260006145782,0.5755567020121644
47,170,7.852941176470588,870.6764705882352,23.884149304145293,9.805019912142123,0.9118497290861065
48,34,7.0,382.5,7.392571411289448,5.7545281136978454,0.6277433712160546
49,30,6.533333333333333,482.8333333333333,6.96914355018283,5.588871319093821,0.5973975836681145
50,55,6.818181818181818,557.9818181818182,10.23350956462187,6.804755945542499,0.7468892875803881
51,55,6.890909090909091,661.290909090909,9.610334473170075,7.340219798187221,0.645471909979426
52,50,6.66,736.28,9.207613529163856,7.073602554396079,0.6401690328968168
53,126,6.571428571428571,832.8571428571429,14.838529970772933,11.636574454759758,0.6204911758882199
54,24,6.875,884.6666666666666,6.081140986576509,4.932066489508719,0.5849866175853743
55,28,7.642857142857143,371.4642857142857,6.3671505791579595,5.577853953521753,0.4822454755116751
56,28,7.464285714285714,453.64285714285717,6.3671505791579595,5.577853953521753,0.4822454755116751
57,27,8.148148148148149,533.7037037037037,6.908386485682668,5.135194067638619,0.6689276037356958
58,143,7.503496503496503,602.8391608391609,15.81705105524581,11.906738802050096,0.6582736969960366
59,73,7.712328767123288,667.7260273972603,12.308302802976858,7.893630193332539,0.7672688064170449
60,85,7.811764705882353,817.8,11.20994873834054,9.769135643520032,0.4904485577114302
61,18,7.944444444444445,465.8888888888889,5.385930481961369,4.225630174819322,0.6200424385141685
62,32,9.0,477.15625,7.599676960009859,5.417959496295197,0.7012456678956583
63,16,8.3125,500.125,4.712429170543843,4.3566628642353615,0.381170670721425
64,97,9.164948453608247,689.4639175257732,12.410716143974293,9.96242563635369,0.5963457371880014
65,45,9.911111111111111,677.4,8.80847895829644,6.645955396525535,0.6563055243079723
66,27,9.185185185185185,704.8148148148148,6.666666666666667,5.172471185213657,0.6308919807368172
67,95,9.6,758.5684210526316,12.00412395510215,10.123594107580086,0.5373756194711901
68,121,9.710743801652892,783.198347107438,13.449848901076038,11.92855472212087,0.461978055403613
69,40,9.825,644.725,9.094811749117168,5.829613987917237,0.7675556016301648
70,188,9.898936170212766,726.9042553191489,17.62094758368489,14.02431719869159,0.6054426511330957
71,58,11.46551724137931,878.6896551724138,11.337241622064695,6.662556826113221,0.8091007148298105
72,18,10.88888888888889,459.94444444444446,5.385930481961369,4.225630174819322,0.6200424385141685
73,14,11.285714285714286,612.5,4.20883424647321,4.120630029101703,0.2036532699906393
74,123,11.471544715447154,770.8861788617886,13.795444856017294,11.37114155760125,0.5662000750960603
75,24,11.125,367.0416666666667,6.235516440639984,4.84842485838415,0.628821305644985
76,97,13.206185567010309,494.21649484536084,12.814320156454903,9.888668223904876,0.6360002280027833
77,33,12.454545454545455,472.8484848484849,6.787512942845651,6.282411533848964,0.3785429465238953
78,88,13.261363636363637,485.4318181818182,11.312647658066776,10.222182312446746,0.4283634394075268
79,112,11.321428571428571,714.3035714285714,18.160431809698107,8.413409010572511,0.8862106907639864
80,7,13.714285714285714,734.8571428571429,3.582070095417669,2.4713456540351717,0.7238845965239822
81,30,13.5,839.4,6.759103803786077,5.7983775693129225,0.5138803131973889
82,12,13.0,895.5,4.47213595499958,3.265986323710904,0.6831300510639732
83,22,13.909090909090908,524.0909090909091,5.502816709244202,4.972652484064489,0.4282593998234223
84,53,13.641509433962264,542.9622641509434,11.194466108455035,6.043957740145534,0.8417254143017078
85,28,13.357142857142858,616.5357142857143,6.3671505791579595,5.577853953521753,0.4822454755116751
86,39,13.974358974358974,671.3846153846154,8.101375550762656,6.4760365065186924,0.6008325246883248
87,43,14.86046511627907,789.953488372093,7.850196751643794,7.151542280191002,0.4124026837853271
88,56,12.642857142857142,802.6071428571429,10.796502085297556,6.681289123725945,0.7855183918013914
89,58,14.051724137931034,809.6034482758621,11.564440655249367,6.966522808139545,0.7981875909352848
90,30,13.933333333333334,833.0666666666667,7.310487513472875,5.139508740447376,0.7111579334899265
91,27,14.407407407407407,382.18518518518516,6.0123330037638585,5.739665371203115,0.29773482005343743
92,115,14.382608695652173,402.0173913043478,12.521722017439632,11.713549157349146,0.3534370018818552
93,61,14.540983606557377,633.7377049180328,10.692926309219953,7.297601288403702,0.730913617108862
94,96,14.135416666666666,699.8854166666666,12.141907447356097,10.217824849298877,0.5402045496993727
95,135,13.97037037037037,747.3333333333334,14.097108053957538,12.626181562086643,0.4447443253792624
96,21,14.0,827.0,5.0896720822428145,5.0896720822428145,0.0
97,31,15.290322580645162,553.3548387096774,7.109409079473619,5.81679247120619,0.5749589291842505
98,46,14.521739130434783,860.1086956521739,8.118412587001222,7.185673952282107,0.46538520276678835
99,138,15.702898550724637,532.2101449275362,14.509424842076168,12.492131937278138,0.5086612865673126
100,63,16.03174603174603,641.5714285714286,10.503342707954184,8.015528741409714,0.6462323179812021
101,36,16.36111111111111,676.1666666666666,8.269155789682737,5.635322971675382,0.7318301284893461
102,44,16.204545454545453,621.6363636363636,7.829913397334791,7.204674331522211,0.3915722043808093
103,31,16.483870967741936,757.8709677419355,9.073699842654621,4.292980051325732,0.8809961485923113
104,39,16.923076923076923,457.7435897435897,7.277282703190426,6.812294980472803,0.35172276983786765
