Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,21,1.0476190476190477,596.2857142857143,7.972718645204832,3.470696576865552,0.9002750197235008
2,25,1.04,642.68,8.824036429033796,3.814758327742989,0.901722922437444
3,22,1.1363636363636365,447.8181818181818,7.416602075915732,3.8357557158903224,0.8558736028157673
4,19,1.0526315789473684,723.6842105263158,7.359592672223153,3.2745720776548892,0.8955607245522076
5,8,0.875,842.125,3.4641016151377544,2.7386127875258306,0.6123724356957945
6,19,1.1578947368421053,661.421052631579,7.029111832940027,3.492597176811044,0.8678215320800826
7,24,1.2083333333333333,767.0833333333334,7.702552446406649,4.2267162496197175,0.8359915680347674
8,7,1.0,881.7142857142857,3.0237157840738176,2.799416848895061,0.377964473009227
9,34,1.7941176470588236,811.2941176470588,8.32024204619366,5.202329260263857,0.7804150948271762
10,79,2.7848101265822787,496.253164556962,14.560940744650113,7.192468865430519,0.8694867124418106
11,70,2.757142857142857,539.4857142857143,12.862380733695154,7.035477053595711,0.8371450624556136
12,33,3.090909090909091,575.030303030303,7.2729062004723,5.850695590147501,0.5940192139738775
13,80,2.8375,606.0625,13.791188044285173,7.383639504144665,0.8446060991851286
14,47,3.3404255319148937,695.468085106383,8.55797843785905,7.1724240599029905,0.5455197986240926
15,46,3.3260869565217392,761.1086956521739,9.12124206793888,6.443700770674722,0.7077630282141473
16,161,3.099378881987578,908.0062111801242,30.28577512702299,7.485274755720065,0.9689760078740556
17,115,3.9217391304347826,477.67826086956524,14.83187332392748,10.175865413643157,0.7275252299907504
18,95,4.042105263157895,552.9473684210526,13.469829840441555,9.261490572000632,0.7261153113026724
19,76,3.3947368421052633,623.2894736842105,14.500762468979378,7.384150035837374,0.8606334590384953
20,30,3.7333333333333334,688.4666666666667,8.496983073238685,4.730650740740966,0.8306836222163886
21,163,6.276073619631902,706.6441717791411,20.925514094063146,11.081694563910455,0.8482611668748132
22,58,3.086206896551724,678.2931034482758,11.322311512375501,6.723715756514299,0.8045783129970456
23,55,4.036363636363636,735.9090909090909,10.706853124305496,6.7454293292352165,0.7765866570540411
